id,shortURI,URI,command
81,"http://t9w.no.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/XRK1-T763/","mkdir XRK1-T763"
82,"http://t9w.nr.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/55IS-W5E3/","mkdir 55IS-W5E3"
83,"http://t9w.ns.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/QFW3-UISK/","mkdir QFW3-UISK"
84,"http://t9w.nu.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/GYMY-3GH6/","mkdir GYMY-3GH6"
85,"http://t9w.nw.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/A8KE-V0WV/","mkdir A8KE-V0WV"
86,"http://t9w.ny.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/CST7-R9BN/","mkdir CST7-R9BN"
87,"http://t9w.o1.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/HYST-N5U3/","mkdir HYST-N5U3"
88,"http://t9w.o3.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/2KI0-42H9/","mkdir 2KI0-42H9"
89,"http://t9w.o4.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/ES3K-2K81/","mkdir ES3K-2K81"
90,"http://t9w.o7.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/WFKO-SI78/","mkdir WFKO-SI78"
91,"http://t9w.o8.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/FYV2-Z3W6/","mkdir FYV2-Z3W6"
92,"http://t9w.oa.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/M9WU-PZVU/","mkdir M9WU-PZVU"
93,"http://t9w.oc.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/FVLA-IZCE/","mkdir FVLA-IZCE"
94,"http://t9w.of.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/5N9O-8ASC/","mkdir 5N9O-8ASC"
95,"http://t9w.og.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/RKXW-3C20/","mkdir RKXW-3C20"
96,"http://t9w.oi.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/XUQP-MKNE/","mkdir XUQP-MKNE"
97,"http://t9w.ol.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/9D1J-1LMW/","mkdir 9D1J-1LMW"
98,"http://t9w.om.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/FHWY-0KZ9/","mkdir FHWY-0KZ9"
99,"http://t9w.oo.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/RGN9-678F/","mkdir RGN9-678F"
100,"http://t9w.oq.sl.pt","http://cdn.labs.oneoverzero.org/MakerFaire2015/W0J0-HQAW/","mkdir W0J0-HQAW"
